100,0.11512,0.6963041,0.0905135,1.2653663,0.7218541,0.0591763,0.2283023,0.2580419,0.0840724,0.0529208,0.0350059,5.62e-05
200,0.117381,0.8523073,0.0677788,0.6210905,0.6726211,0.0925558,0.2850995,0.1782453,0.06798,0.0460565,0.0935175,4.7e-05
300,0.0462929,0.572043,0.0457673,0.5769338,0.6121844,0.113646,0.1891464,0.1239049,0.0740301,0.0557114,0.0857156,3.42e-05
400,0.0774926,0.753914,0.0507657,0.9032067,0.6738445,0.3475637,0.2359319,0.0768821,0.0521809,0.0652855,0.1741484,2.01e-05
500,0.0734223,0.5584936,0.0813218,1.2684455,0.879445,0.2304969,0.2471776,0.11001,0.1148126,0.0720108,0.1616085,3.54e-05
600,0.0412943,0.3568527,0.067192,1.6864241,0.8082715,0.3552375,0.4412259,0.1908689,0.052051,0.1320903,0.1051807,5.61e-05
700,0.0241623,0.5977642,0.0797658,1.766885,0.6216224,0.2628539,0.2724232,0.2294174,0.0360256,0.0837182,0.1021794,6.87e-05
800,0.0325237,0.636239,0.0496229,1.5008304,0.6119588,0.2942948,0.207826,0.1448696,0.0355511,0.078734,0.0883383,4.28e-05
900,0.0208064,0.7198613,0.0372314,1.2329365,0.6694569,0.2336161,0.2464022,0.0882202,0.0815098,0.0867379,0.0385247,2.74e-05
1000,0.0177462,0.6400144,0.018931,0.7287099,0.7462722,0.2503962,0.2518685,0.099566,0.0976274,0.0746271,0.0287877,2.2e-05
1100,0.0137836,0.7353703,0.0120782,0.8120116,0.522781,0.2728675,0.2688331,0.1284027,0.0630043,0.0825188,0.0201437,3.87e-05
1200,0.0162445,0.5999509,0.0207703,1.1028767,0.4606959,0.1355532,0.36688,0.1920495,0.05282,0.1131472,0.0090776,5.58e-05
1300,0.0173214,0.4808707,0.0155053,0.8411996,0.4964712,0.2002077,0.2521742,0.1474148,0.0558326,0.1000441,0.0115611,5e-05
1400,0.0176715,0.3594392,0.0116944,0.5489556,0.6909191,0.2781203,0.2790393,0.0444063,0.0721445,0.0773401,0.0192285,1.56e-05
1500,0.0130985,0.7839689,0.0091428,0.4253586,0.7050805,0.222148,0.2681824,0.0326908,0.1029389,0.0704689,0.0091425,1.74e-05
1600,0.0128355,0.7907224,0.0113546,0.5617599,0.6634738,0.2930068,0.1925788,0.0190742,0.0888352,0.0609512,0.0164544,1.49e-05
1700,0.012477,0.447669,0.01289,0.6171509,0.6795242,0.3157422,0.1673983,0.041947,0.0716967,0.0508433,0.0215088,1.51e-05
