1,8,3,3,1,64995,5
2,7,3,6,0,64990,7
3,6,4,3,1,64991,5
4,7,5,6,0,64986,7
5,6,4,5,1,64982,7
6,6,5,6,1,64979,7
7,6,5,5,1,64980,5
8,8,6,5,2,64980,6
9,8,6,6,1,64976,6
10,9,6,3,1,64976,5
11,11,6,7,0,64972,8
12,13,6,7,0,64973,7
13,15,5,6,0,64974,7
14,15,5,8,0,64974,8
15,18,4,8,0,64975,8
16,17,5,7,1,64980,8
17,14,6,5,2,64978,7
18,16,5,5,2,64977,7
19,16,4,3,0,64978,3
20,17,3,8,1,64975,9
21,20,4,8,1,64977,9
22,20,4,5,0,64981,5
23,21,4,5,1,64991,6
24,18,5,5,2,64989,7
25,16,4,8,2,64994,10
26,15,4,7,1,64994,6
27,13,4,9,1,64989,8
28,17,4,7,1,64996,6
29,18,3,7,1,64992,6
30,17,3,7,2,64995,7
31,21,6,8,2,64998,8
32,22,5,6,1,65004,5
33,24,6,7,1,65014,5
34,23,5,6,1,65018,4
35,22,7,5,2,65023,4
36,20,6,6,2,65032,5
37,20,7,6,2,65037,6
38,23,10,4,2,65040,5
39,24,10,3,1,65048,3
40,24,11,6,1,65047,6
41,24,12,6,0,65050,5
42,24,10,6,1,65059,7
43,22,9,5,2,65065,9
44,23,10,6,1,65069,10
45,27,11,10,0,65067,13
46,27,10,7,1,65075,11
47,25,10,5,1,65086,9
48,23,10,5,1,65101,8
49,22,11,5,2,65096,10
50,21,13,4,0,65094,8
